Final Position,Rider,Lap,Lap Time,T1,T2,T3,T4,Speed,Number,Position
21,Gabriel RODRIGO,14,120.988,26.39,31.18,29.54,33.88,286.40,2,23
21,Gabriel RODRIGO,15,120.991,26.28,31.05,29.72,33.93,285.70,2,22
21,Gabriel RODRIGO,16,121.203,26.41,31.14,29.69,33.97,284.20,2,22
21,Gabriel RODRIGO,17,121.521,26.53,31.16,29.71,34.13,287.20,2,21
21,Gabriel RODRIGO,18,121.294,26.46,31.16,29.75,33.92,281.90,2,21
21,Gabriel RODRIGO,19,121.341,26.32,31.29,29.70,34.04,281.90,2,21
21,Gabriel RODRIGO,20,121.771,26.54,31.33,29.80,34.10,281.20,2,21
22,Alessandro ZACCONE,1,132.382,35.05,32.58,30.66,34.10,199.60,61,28
22,Alessandro ZACCONE,2,121.975,26.70,31.54,29.73,34.01,285.70,61,28
22,Alessandro ZACCONE,3,121.838,26.82,31.41,29.67,33.94,284.90,61,27
22,Alessandro ZACCONE,4,121.741,26.64,31.51,29.61,33.99,288.00,61,27
22,Alessandro ZACCONE,5,121.662,26.58,31.38,29.63,34.08,288.00,61,27
22,Alessandro ZACCONE,6,121.795,26.71,31.42,29.54,34.13,288.00,61,27
22,Alessandro ZACCONE,7,121.644,26.73,31.44,29.51,33.97,286.40,61,27
22,Alessandro ZACCONE,8,121.512,26.61,31.41,29.54,33.96,285.70,61,27
22,Alessandro ZACCONE,9,121.882,26.62,31.50,29.72,34.05,288.00,61,27
22,Alessandro ZACCONE,10,122.003,26.71,31.48,29.77,34.04,286.40,61,27
22,Alessandro ZACCONE,11,121.987,26.51,31.38,29.88,34.23,288.00,61,27
22,Alessandro ZACCONE,12,121.631,26.62,31.41,29.66,33.94,285.70,61,25
22,Alessandro ZACCONE,13,120.975,26.38,31.20,29.58,33.82,283.40,61,25
22,Alessandro ZACCONE,14,121.304,26.54,31.24,29.65,33.88,282.70,61,25
22,Alessandro ZACCONE,15,121.592,26.54,31.29,29.64,34.13,282.70,61,25
22,Alessandro ZACCONE,16,121.201,26.47,31.30,29.60,33.83,281.20,61,24
22,Alessandro ZACCONE,17,121.117,26.44,31.22,29.57,33.89,282.70,61,24
22,Alessandro ZACCONE,18,121.514,26.53,31.35,29.60,34.03,283.40,61,24
22,Alessandro ZACCONE,19,121.774,26.69,31.41,29.68,34.00,284.20,61,23
22,Alessandro ZACCONE,20,121.288,26.58,31.19,29.66,33.86,283.40,61,22
23,Keminth KUBO,1,131.604,35.13,32.23,30.08,34.16,198.80,81,26
23,Keminth KUBO,2,122.311,26.72,31.61,29.72,34.26,288.70,81,26
23,Keminth KUBO,3,121.388,26.61,31.33,29.57,33.88,285.70,81,24
23,Keminth KUBO,4,121.252,26.45,31.27,29.73,33.81,287.20,81,24
23,Keminth KUBO,5,121.251,26.39,31.15,29.64,34.07,288.00,81,23
23,Keminth KUBO,6,121.441,26.54,31.25,29.72,33.93,284.20,81,23
23,Keminth KUBO,7,121.645,26.51,31.18,29.78,34.18,283.40,81,23
23,Keminth KUBO,8,121.470,26.47,31.20,29.72,34.09,283.40,81,23
23,Keminth KUBO,9,121.471,26.48,31.29,29.69,34.00,282.70,81,23
23,Keminth KUBO,10,121.314,26.58,31.08,29.68,33.97,281.90,81,23
23,Keminth KUBO,11,121.735,26.36,31.25,30.10,34.03,283.40,81,24
23,Keminth KUBO,12,121.138,26.41,31.31,29.60,33.82,284.90,81,24
23,Keminth KUBO,13,121.386,26.38,31.39,29.76,33.86,284.90,81,24
23,Keminth KUBO,14,121.279,26.37,31.20,29.77,33.93,284.90,81,24
23,Keminth KUBO,15,121.623,26.38,31.22,29.86,34.17,282.70,81,24
23,Keminth KUBO,16,122.539,26.52,31.70,29.99,34.33,280.50,81,23
23,Keminth KUBO,17,121.984,26.57,31.34,29.98,34.09,279.00,81,23
23,Keminth KUBO,18,122.440,26.69,31.35,30.13,34.27,281.20,81,23
23,Keminth KUBO,19,122.429,26.66,31.39,29.99,34.39,279.70,81,24
23,Keminth KUBO,20,122.140,26.77,31.42,29.90,34.05,283.40,81,23
24,Zonta VAN DEN GOORBERGH,1,132.005,34.95,32.49,30.36,34.22,203.70,84,27
24,Zonta VAN DEN GOORBERGH,2,122.129,26.78,31.57,29.68,34.09,288.00,84,27
24,Zonta VAN DEN GOORBERGH,3,121.697,26.58,31.45,29.70,33.97,288.00,84,26
24,Zonta VAN DEN GOORBERGH,4,121.611,26.62,31.39,29.75,33.86,287.20,84,26
24,Zonta VAN DEN GOORBERGH,5,122.017,26.36,31.57,29.94,34.15,288.70,84,26
24,Zonta VAN DEN GOORBERGH,6,121.520,26.48,31.28,29.74,34.02,288.00,84,26
24,Zonta VAN DEN GOORBERGH,7,121.546,26.41,31.29,29.77,34.07,288.00,84,26
24,Zonta VAN DEN GOORBERGH,8,121.873,26.57,31.27,29.93,34.10,287.20,84,26
24,Zonta VAN DEN GOORBERGH,9,122.000,26.64,31.30,29.87,34.18,286.40,84,26
24,Zonta VAN DEN GOORBERGH,10,121.914,26.62,31.30,29.94,34.06,285.70,84,26
24,Zonta VAN DEN GOORBERGH,11,122.030,26.52,31.34,29.87,34.30,287.20,84,26
24,Zonta VAN DEN GOORBERGH,12,122.285,26.66,31.67,29.89,34.07,285.70,84,27
24,Zonta VAN DEN GOORBERGH,13,121.739,26.54,31.20,29.91,34.09,287.20,84,27
24,Zonta VAN DEN GOORBERGH,14,121.834,26.53,31.24,29.97,34.10,288.70,84,28
24,Zonta VAN DEN GOORBERGH,15,121.646,26.47,31.21,29.80,34.18,285.70,84,27
24,Zonta VAN DEN GOORBERGH,16,122.373,26.56,31.53,30.12,34.17,286.40,84,26
24,Zonta VAN DEN GOORBERGH,17,122.304,26.77,31.28,29.97,34.29,284.90,84,26
24,Zonta VAN DEN GOORBERGH,18,122.453,26.73,31.41,30.11,34.20,285.70,84,26
24,Zonta VAN DEN GOORBERGH,19,122.474,26.61,31.49,30.19,34.19,287.20,84,26
24,Zonta VAN DEN GOORBERGH,20,122.381,26.71,31.67,30.10,33.90,286.40,84,24
25,Sean Dylan KELLY,1,131.073,34.79,32.13,30.06,34.09,198.50,4,22
25,Sean Dylan KELLY,2,122.415,26.88,31.59,29.83,34.11,288.70,4,24
25,Sean Dylan KELLY,3,121.501,26.41,31.34,29.75,34.01,287.20,4,23
25,Sean Dylan KELLY,4,121.537,26.40,31.31,29.84,33.99,287.20,4,23
25,Sean Dylan KELLY,5,122.547,26.69,31.81,30.08,33.96,284.90,4,25
25,Sean Dylan KELLY,6,121.619,26.43,31.36,29.81,34.02,289.50,4,25
25,Sean Dylan KELLY,7,121.674,26.45,31.30,29.80,34.12,286.40,4,25
25,Sean Dylan KELLY,8,121.936,26.46,31.32,29.98,34.18,284.90,4,25
25,Sean Dylan KELLY,9,121.991,26.39,31.33,29.92,34.35,284.20,4,25
25,Sean Dylan KELLY,10,121.909,26.50,31.33,29.93,34.15,283.40,4,25
25,Sean Dylan KELLY,11,122.030,26.41,31.35,29.95,34.32,284.90,4,25
25,Sean Dylan KELLY,12,122.358,26.57,31.46,30.18,34.15,284.20,4,26
25,Sean Dylan KELLY,13,121.698,26.35,31.25,29.92,34.17,284.20,4,26
25,Sean Dylan KELLY,14,121.590,26.42,31.25,29.85,34.07,285.70,4,26
25,Sean Dylan KELLY,15,121.860,26.43,31.34,29.93,34.16,284.20,4,26
25,Sean Dylan KELLY,16,122.406,26.55,31.47,30.15,34.23,283.40,4,25
25,Sean Dylan KELLY,17,122.202,26.52,31.31,30.00,34.37,284.20,4,25
25,Sean Dylan KELLY,18,122.435,26.64,31.51,30.12,34.17,283.40,4,25
25,Sean Dylan KELLY,19,122.614,26.63,31.47,30.12,34.40,283.40,4,25
25,Sean Dylan KELLY,20,122.578,26.63,31.67,30.34,33.94,283.40,4,25
26,Niccolò ANTONELLI,1,132.795,35.44,32.60,30.48,34.27,205.30,28,29
26,Niccolò ANTONELLI,2,122.623,26.95,31.79,29.85,34.03,286.40,28,29
26,Niccolò ANTONELLI,3,122.372,26.85,31.73,29.73,34.07,287.20,28,28
26,Niccolò ANTONELLI,4,122.112,26.72,31.48,29.87,34.04,289.50,28,28
26,Niccolò ANTONELLI,5,121.984,26.74,31.42,29.81,34.01,288.70,28,28
26,Niccolò ANTONELLI,6,121.759,26.73,31.33,29.77,33.94,288.70,28,28
26,Niccolò ANTONELLI,7,121.615,26.69,31.30,29.62,34.01,287.20,28,28
26,Niccolò ANTONELLI,8,121.547,26.58,31.29,29.73,33.95,287.20,28,28
26,Niccolò ANTONELLI,9,121.400,26.59,31.18,29.72,33.91,288.00,28,28
26,Niccolò ANTONELLI,10,121.663,26.75,31.25,29.61,34.05,288.70,28,28
26,Niccolò ANTONELLI,11,121.621,26.70,31.11,29.75,34.06,288.70,28,28
26,Niccolò ANTONELLI,12,121.397,26.65,31.22,29.68,33.85,288.70,28,28
26,Niccolò ANTONELLI,13,121.681,26.55,31.31,29.65,34.17,287.20,28,28
26,Niccolò ANTONELLI,14,121.594,26.54,31.38,29.80,33.87,288.00,28,27
26,Niccolò ANTONELLI,15,124.647,26.78,33.94,29.95,33.98,287.20,28,28
26,Niccolò ANTONELLI,16,121.702,26.48,31.45,29.82,33.94,286.40,28,27
26,Niccolò ANTONELLI,17,121.543,26.52,31.27,29.77,33.98,288.00,28,27
26,Niccolò ANTONELLI,18,121.671,26.57,31.30,29.84,33.96,288.00,28,27
26,Niccolò ANTONELLI,19,121.984,26.79,31.44,29.90,33.86,288.70,28,27
26,Niccolò ANTONELLI,20,122.284,26.65,31.62,30.17,33.84,285.70,28,26
27,Barry BALTUS,1,128.982,33.82,32.05,29.44,33.67,186.50,7,14
27,Barry BALTUS,2,120.786,26.32,31.22,29.42,33.83,292.60,7,13
27,Barry BALTUS,3,120.669,26.37,31.13,29.39,33.78,283.40,7,13
27,Barry BALTUS,4,120.686,26.20,31.42,29.38,33.69,288.00,7,14
27,Barry BALTUS,5,120.538,26.29,31.14,29.34,33.77,290.30,7,14
27,Barry BALTUS,6,120.715,26.30,31.20,29.39,33.83,292.60,7,14
27,Barry BALTUS,7,121.197,26.37,31.42,29.39,34.02,291.80,7,12
27,Barry BALTUS,8,120.939,26.53,31.14,29.52,33.75,285.70,7,14
27,Barry BALTUS,9,120.587,26.30,31.11,29.50,33.68,289.50,7,14
27,Barry BALTUS,10,120.879,26.37,31.00,29.60,33.91,288.00,7,13
27,Barry BALTUS,11,120.719,26.33,31.02,29.51,33.85,283.40,7,13
27,Barry BALTUS,12,121.734,26.42,31.17,29.62,34.53,284.90,7,15
27,Barry BALTUS,13,121.162,26.40,31.44,29.58,33.74,284.20,7,16
27,Barry BALTUS,14,120.953,26.34,31.21,29.61,33.80,291.10,7,15
27,Barry BALTUS,15,120.975,26.31,31.18,29.55,33.94,285.70,7,15
27,Barry BALTUS,16,120.932,26.32,31.08,29.61,33.93,286.40,7,15
27,Barry BALTUS,17,121.036,26.38,31.13,29.60,33.92,285.70,7,15
27,Barry BALTUS,18,121.111,26.34,31.22,29.59,33.96,285.70,7,15
27,Barry BALTUS,19,121.195,26.42,31.16,29.65,33.97,284.90,7,15
28,Lorenzo DALLA PORTA,1,131.124,34.39,32.71,29.98,34.04,193.20,19,23
28,Lorenzo DALLA PORTA,2,121.593,26.55,31.58,29.69,33.78,284.20,19,23
28,Lorenzo DALLA PORTA,3,121.356,26.50,31.44,29.66,33.76,287.20,19,22
28,Lorenzo DALLA PORTA,4,121.169,26.40,31.19,29.66,33.93,286.40,19,22
28,Lorenzo DALLA PORTA,5,121.190,26.52,31.38,29.58,33.71,285.70,19,22
28,Lorenzo DALLA PORTA,6,121.407,26.58,31.37,29.63,33.83,285.70,19,22
28,Lorenzo DALLA PORTA,7,121.279,26.44,31.18,29.69,33.97,285.70,19,21
28,Lorenzo DALLA PORTA,8,122.074,26.41,31.37,30.40,33.89,288.70,19,22
28,Lorenzo DALLA PORTA,9,121.702,26.44,31.31,29.91,34.04,288.70,19,22
28,Lorenzo DALLA PORTA,10,121.153,26.43,31.24,29.68,33.79,288.00,19,22
28,Lorenzo DALLA PORTA,11,121.490,26.46,31.39,29.76,33.88,288.70,19,22
28,Lorenzo DALLA PORTA,12,121.401,26.46,31.35,29.66,33.93,289.50,19,21
28,Lorenzo DALLA PORTA,13,120.909,26.36,31.15,29.57,33.83,287.20,19,21
28,Lorenzo DALLA PORTA,14,121.009,26.32,31.22,29.56,33.92,286.40,19,21
28,Lorenzo DALLA PORTA,15,122.335,27.53,31.26,29.63,33.91,287.20,19,23
29,Filip SALAC,1,126.818,33.05,31.15,29.26,33.36,173.00,12,6
29,Filip SALAC,2,119.596,26.23,30.84,29.20,33.33,292.60,12,6
