Lap,Lap Time,T1,T2,T3,Speed,T4,Final Position,Rider,Position
3,102.285,28.610,21.023,21.120,288.0,31.532,22,Jorge MARTIN,8
4,102.073,29.038,20.862,20.926,280.5,31.247,22,Jorge MARTIN,8
5,101.458,28.476,20.799,20.946,289.5,31.237,22,Jorge MARTIN,8
6,101.087,28.254,20.833,20.999,289.5,31.001,22,Jorge MARTIN,7
7,101.597,28.462,20.951,20.828,290.3,31.356,22,Jorge MARTIN,7
1,111.415,34.380,22.498,21.442,242.6,33.095,23,Andrea DOVIZIOSO,12
2,103.234,29.056,21.272,21.009,272.0,31.897,23,Andrea DOVIZIOSO,11
3,103.112,28.938,21.286,20.986,274.1,31.902,23,Andrea DOVIZIOSO,11
4,103.372,28.890,21.439,21.211,279.7,31.832,23,Andrea DOVIZIOSO,13
5,102.177,28.819,21.231,20.741,283.4,31.386,23,Andrea DOVIZIOSO,13
6,103.327,29.576,21.631,20.798,289.5,31.322,23,Andrea DOVIZIOSO,13
